date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:05	35356/35356	---M--	200	added ('OK')	font/woff2	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/design/fonts/magistral-cond-medium.woff2	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/design/fonts/magistral-cond-medium.woff2	(from https://synthgliders.com/)
11:36:05	90724/90724	---M-Z	200	added ('OK')	font/woff	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/design/fonts/magistral-cond-book.woff	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/design/fonts/magistral-cond-book.woff	(from https://synthgliders.com/)
11:36:06	105979/105979	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/design/images/stars.0f67e22431027fdf.jpg	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/design/images/stars.0f67e22431027fdf.jpg	(from https://synthgliders.com/)
11:36:08	51040/51040	---M-Z	200	added ('OK')	font/woff	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/design/fonts/magistral-cond-medium.woff	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/design/fonts/magistral-cond-medium.woff	(from https://synthgliders.com/)
11:36:10	96388/96388	---M-Z	200	added ('OK')	font/woff	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/design/fonts/magistral-cond-bold.woff	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/design/fonts/magistral-cond-bold.woff	(from https://synthgliders.com/)
11:36:10	58180/58180	---M-Z	200	added ('OK')	font/woff2	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/design/fonts/magistral-cond-bold.woff2	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/design/fonts/magistral-cond-bold.woff2	(from https://synthgliders.com/)
11:36:10	57976/57976	---M-Z	200	added ('OK')	font/woff2	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/design/fonts/magistral-cond-extra-bold.woff2	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/design/fonts/magistral-cond-extra-bold.woff2	(from https://synthgliders.com/)
11:36:10	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/updates	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/updates	(from https://synthgliders.com/)
11:36:11	345985/345985	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/early-access.html	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/early-access.html	(from https://synthgliders.com/)
11:36:13	95660/95660	---M-Z	200	added ('OK')	font/woff	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/design/fonts/magistral-cond-extra-bold.woff	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/design/fonts/magistral-cond-extra-bold.woff	(from https://synthgliders.com/)
11:36:13	15355/15355	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/4b69mGpsVGfD8VKOkwbsNd/9b82f4b2c911ea93dbd8702a44e19abc/CosmicDrift_Header_logo_1155x435px75b575b5.html?q=80&w=3840	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/4b69mGpsVGfD8VKOkwbsNd/9b82f4b2c911ea93dbd8702a44e19abc/CosmicDrift_Header_logo_1155x435px75b575b575b5.html	(from https://synthgliders.com/)
